사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
2298100063,7,20210902,1881076,조**,71,이사,사업부,2,비등기,Jo Seong Min,,,,, 현 이스트소프트 SW사업본부장,I,20221114,,
2298100063,8,20210902,1881076,한**,71,이사,디자인,2,비등기,Han Gyun U,,,,, 현 이스트소프트 UX실장,I,20221114,,
2298100063,9,20210902,1881076,김**,76,사외이사,감사,1,등기,Kim Gi Hyeon,,,,미국 애리조나대학교 대학원 박사, 한국인지과학회 회장  현 서울대학교 철학과 교수,I,20221114,,
2298100063,10,20210902,1881076,유*,76,사외이사,감사,1,등기,Yoo Duk,,,,전북대학교, KIST 시스템공학센터 선임연구원 KT 인터넷 사업국장 한국IT,I,20221114,,
2298100063,11,20210902,1881076,전**,76,사외이사,감사,1,등기,Jeon Hyeong Jun,,,,서울대학교 중어중문학과 문학석.박사1983.1992, 서울대학교 교수학습개발센터 소장  현 서울대학교 중어중문,I,20221114,,
1068100064,1,20220224,1413019,김**,30,대표이사사장,,,,,,,,,,I,20221114,,
6058600065,1,,,,,,,,,,,,,,,I,20221114,,
5021400066,1,20210903,5859701,박**,28,대표이사,대표 (총괄),,,"Park, Jung Soo",,,,,제이에스테크 대표,I,20221114,,
2118700067,1,20220215,1515702,이**,28,대표이사,,,,,,,,경희대학교 학사,두산건설주,I,20221114,,
2118700067,2,20220215,1515702,김**,52,전무이사,,,,,,,,강원대학교,,I,20221114,,
3671700068,1,,,,,,,,,,,,,,,I,20221114,,
1280700069,1,,,,,,,,,,,,,,,I,20221114,,
1108100070,1,,,,,,,,,,,,,,,I,20221114,,
1212000071,1,,,,,,,,,,,,,,,I,20221114,,
4060500072,1,,,,,,,,,,,,,,,I,20221114,,
7838500073,1,,,,,,,,,,,,,,,I,20221114,,
7838500074,1,,,,,,,,,,,,,,,I,20221114,,
4022000075,1,,,,,,,,,,,,,,,I,20221114,,
1050200076,1,,,,,,,,,,,,,,,I,20221114,,
2248100077,1,20220316,3327434,이**,30,대표이사사장,,,,,,,,,,I,20221114,,
2248100078,1,,,,,,,,,,,,,,,I,20221114,,
1196900079,1,,,,,,,,,,,,,,,I,20221114,,
2298100080,1,,,,,,,,,,,,,,,I,20221114,,
1078800081,1,20211129,6542200,윤**,30,대표이사사장,,,,,,,,,,I,20221114,,
2098100082,1,20220316,1130180,구**,30,대표이사사장,,,,,,,,,대방건설주 부대표,I,20221114,,
2098100082,2,20220316,1130180,윤**,71,이사,사업부,1,등기,Yun Dae In,,,,동신대학교,대방건설주 이사사업부,I,20221114,,
2098100082,3,20220316,1130180,이**,71,이사,기획,1,등기,Lee Yeong Hwan,,,,안양대학교,안양대학교,I,20221114,,
2098100082,4,20220316,1130180,장**,81,감사,기술,1,등기,Jang Seong Gyu,,,,영남대학교,영남대학교,I,20221114,,
1108600083,1,20210903,4340598,구**,30,대표이사사장,대표이사 (경영총괄),,,"Song, Sang Hern",,,,,주에이아이딥 ,I,20221114,,
1108600083,2,20210903,4340598,김**,71,이사,연구소장 (연구소 총괄),,,,,,,,17년 7개월,I,20221114,,
1358100084,1,,,,,,,,,,,,,,,I,20221114,,
1330300085,1,,,,,,,,,,,,,,,I,20221114,,
1192200086,1,,,,,,,,,,,,,,,I,20221114,,
1050300087,1,,,,,,,,,,,,,,,I,20221114,,
1268600088,1,,,,,,,,,,,,,,,I,20221114,,
1358100089,1,20211129,1886766,이**,28,대표이사,,,,,16884,경기도 용인시 처인구 모현면 대지로,409-15 (오산리),동아대학교,삼우정밀 과장생산,I,20221114,,
1248700090,1,,,,,,,,,,,,,,,I,20221114,,
2138600091,1,20211129,1678276,이**,30,대표이사사장,,,,,,,,서울대학교 공과대학원 제어계측공학 석사89.31989,주세니온 대표이사,I,20221114,,
2138600091,2,20211129,1678276,김**,71,이사,,3,미분류,Kim Jin Baek,,,,고려대 대학원,아라리온주 이사,I,20221114,,
2972700092,1,,,,,,,,,,,,,,,I,20221114,,
5048500093,1,,,,,,,,,,,,,,,I,20221114,,
3832400094,1,,,,,,,,,,,,,,,I,20221114,,
