사업자등록번호,데이터수집일자,기업코드,기업명,업종,업종명,기업규모,기업규모명,CRI등급,CRI기준일,결산일자,CRI등급설명,CRI등급명세,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018100040,20221022,3054931,라****,,교육 서비스업,,중소기업,B3,20220719,,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",,I,20221104,,
1018100040,20220418,3054931,라*****,M,,2,중소기업,B2,20220415,20201231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1018100040,20220107,3054931,라*****,M,,2,중소기업,B2,20211231,20201231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1018100040,,,,,,,,,,,,,I,20221104,,
1018100041,20221022,1216183,샴****,,"전문, 과학 및 기술 서비스업",,중소기업,C1,20220719,,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준",,I,20221104,,
1018100041,20220418,1216183,샴*****,M,,2,중소기업,C1,20220415,20201231,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준",보통,I,20221104,,
1018100041,20220107,1216183,샴*****,M,,2,중소기업,C1,20220101,20201231,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준",보통,I,20221104,,
1018100041,,,,,,,,,,,,,I,20221104,,
1018100042,20221022,1322662,제****,,도매 및 소매업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100042,20220418,1322662,제*****,M,,2,중소기업,B1,20220415,20191231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100042,20220107,1322662,제*****,M,,2,중소기업,B1,20211231,20191231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100042,,,,,,,,,,,,,I,20221104,,
