사업자등록번호,순번,데이터수집일자,데이터구분,과제명,과제코드,성과ID,성과고유번호,성과년도,과제기준년도,부처코드,부처명,예산사업코드,예산사업명,연구수행기관코드,연구수행주체명,6T코드,6T분류명,국가기술지도코드,국가기술지도명,과학기술표준대분류코드,과학기술표준대분류명,과학기술표준중분류코드,과학기술표준중분류명,과학기술표준소분류코드,과학기술표준소분류명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1018700122,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018700123,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018800124,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1019000125,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1019000125,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1019100126,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1019100126,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1021800127,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1021800127,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1022500128,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100129,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100129,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100130,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100130,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100131,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100131,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100132,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100132,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100133,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100133,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100134,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100134,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100135,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100135,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100136,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100136,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100137,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100138,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100138,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100139,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100139,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100140,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100141,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100141,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100142,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100143,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100144,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100145,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100145,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100146,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100146,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100147,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100147,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100148,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028100148,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200149,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200149,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200150,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200151,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200151,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200152,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200152,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200153,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200153,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200154,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028200154,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1028600155,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1038600156,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1038700157,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1040400158,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1045000159,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1045000159,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100160,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100160,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100161,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100161,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100162,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100163,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100163,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100164,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100164,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100165,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100165,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100166,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100166,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100167,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100167,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100168,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100169,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100169,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100170,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100170,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100171,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
