"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","IND_CD","IND_NAME","FOUNDATION_DATE","ADDRESS"
"1098157624",에어넷비즈니스서비스,김민호,"19990521","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19990521","서울특별시 강남구 테헤란로 427, 14층 (삼성동,미차빌딩)"
"1098195399",유비펀,박진환,"20050105","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20050105","서울특별시 강남구 논현로 529 2층 (역삼동,마린빌딩)"
"1098624394",엔틱게임월드,최준규,"20100716","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100716","경기도 성남시 분당구 판교역로 178, 502호 (삼평동,서건타워)"
"1098633350",누리게임즈,채경석,"20120213","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120213","서울특별시 마포구 월드컵북로 396 1011호 (상암동,누리꿈스퀘어알앤디타워)"
"1098648440",민트쿠키,김진수외  1명,"20140521","58219",기타 게임 소프트웨어 개발 및 공급업,"20140521","서울 강동구 천호대로 1121, 205호 (길동,일성하이츠오피스텔)"
"1098649487",앱플러,엄대진,"20140709","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140709","경기 성남시 분당구 판교로255번길 9-22 4층 409호 (삼평동,판교우림더블유시티)"
"1098700119",릴라소프트,김준한,"20150416","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20150416","서울특별시 강남구 테헤란로87길 29 903호 (삼성동,엠타워)"
"1108135300",미소,김중섭,"19950121","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19950121","서울 영등포구 당산로40길 16, 302호"
"1108182652",디지털프로그,노태윤,"20080625","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20080625","서울특별시 마포구 독막로28길 10 109동 비101-950호 (신수동,밤섬경남아너스빌)"
"1108187021",에스에프플래닛,정철,"20090803","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20090803",서울특별시 강남구 선릉로112길 84 (삼성동)
"1108191224",어썸피스,김재우,"20100702","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100702","서울특별시 관악구 남부순환로 1926 7층 (봉천동,경동제약빌딩)"
"1108197607",디자인펙터,정승균,"20111014","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20111014",서울 은평구 서오릉로 88-12 103호 (대조동)
"1108198722",코스타,김민형외 1명,"20120125","58219",기타 게임 소프트웨어 개발 및 공급업,"20120125",경기도 김포시 고촌읍 수기로 56 304호 (신곡리)
"1108700313",익센트릭게임그루,박형준,"20160404","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20160404","경상북도 경산시 삼풍로 27 글로벌벤처동 2501호,2502호 (삼풍동)"
"1118133867",슈퍼클레이,한수진,"20161018","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20161018","서울특별시 마포구 연희로 11, 5층 (동교동,한국특허정보원빌딩)"
"1118438733",미투젠리미티드(영업소),성종원,"20190604","58212",모바일 게임 소프트웨어 개발 및 공급업,"20190604",서울 강남구 학동로 343 6층 (논현동)
"1118601211",데브플로어,조용길,"20180806","58212",모바일 게임 소프트웨어 개발 및 공급업,"20180806","서울특별시 금천구 가산디지털1로 145 807호 104 (가산동,에이스하이엔드타워3차)"
"1118701218",노드브릭,신휘준,"20180828","58219",기타 게임 소프트웨어 개발 및 공급업,"20180828","서울특별시 성동구 연무장19길 14 1층 (성수동2가,삼원물산)"
"1128143261",웹젠온네트,김태영,"19960801","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19960801","경기 성남시 분당구 판교로 242 B동 5층 (삼평동,판교디지털센터)"
"1138600426",에이앤비소프트,안장천,"20050902","58219",기타 게임 소프트웨어 개발 및 공급업,"20050902","서울특별시 서초구 방배천로2길 5 6층 612호 (방배동,성지빌딩)"
"1138605931",엠플라이트,강지은,"20060602","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20060602","경기도 파주시 송학2길 40-9 101동 201호 (야당동,다울블리스)"
"1138619736",씨엘게임즈,최병두,"20080201","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20080201","경기도 성남시 수정구 창업로 54, 8층 803호 (시흥동,글로벌게임허브센터)"
"1138625577",퍼니글루,백창흠,"20081103","58212",모바일 게임 소프트웨어 개발 및 공급업,"20081103","서울 마포구 성암로 330 619호 (상암동,DMC첨단산업센터)"
"1138626635",피닉스다트,이승윤,"20090101","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20090101","서울 구로구 디지털로26길 111 306호 (구로동,제이엔케이디지털타워)"
"1138635376",지스트라,김병관,"20100107","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100107","서울특별시 금천구 가산디지털1로 225 710호 (가산동,에이스가산포휴)"
"1138640511",위메이드엑스알,장현국,"20100625","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100625","경기 성남시 분당구 대왕판교로644번길 49 7층 (삼평동,코리아벤처타운 업무시설 비블럭 위메이드타워)"
"1138645118",젤리버스,김세중,"20110112","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20110112","서울 구로구 디지털로33길 12 413호 (구로동,우림이비지센터2차빌딩)"
"1138645627",플리즈그룹,임동균,"20101110","58219",기타 게임 소프트웨어 개발 및 공급업,"20101110","서울특별시 구로구 경인로 556 307-3호 (구로동,구로오피스)"
"1138647697",삼십팔도씨,신태식,"20110412","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20110412","서울 영등포구 선유로3길 10 711호 (문래동5가,하우스디비즈)"
"1138648814",에이스비즈테크,임석귀,"20110427","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20110427","서울특별시 성동구 고산자로 269, 1014호 (도선동,신한넥스텔)"
"1138650023",키다리스타,김영훈,"20110701","58219",기타 게임 소프트웨어 개발 및 공급업,"20110701","경기 용인시 수지구 디지털벨리로 81 6층 (죽전동,디지털스퀘어)"
"1138650488",디지털아이디어캠퍼스,신재균,"20110713","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20110713","경기도 고양시 일산동구 중앙로 1193 6층 658호 (장항동,마두법조빌딩)"
"1138654131",투썬리츠,이재용,"20111125","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20111125","서울특별시 구로구 디지털로31길 41 6차, 511호 (구로동,이앤씨벤처드림타워)"
"1138660405",넷마블네오,권영식외 1명,"20120608","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120608","서울특별시 구로구 디지털로26길 38 (구로동,지타워)"
"1138661082",케이웨이브,박관일,"20120627","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120627","경기도 수원시 장안구 조원로112번길 2 302동 139호 (조원동,영재빌딩)"
"1138662174",퍼플오션,이동만,"20120727","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120727","광주광역시 동구 동계천로 150 406호 (동명동,아이-플렉스 광주)"
"1138664148",제이에스미디어팀,차정석,"20120918","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120918","서울특별시 금천구 가산디지털2로 166 712호 (가산동,에이스케이1타워)"
"1138664298",이엔피게임즈,이승재,"20120920","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120920","서울 금천구 벚꽃로 298 1408호 (가산동,대륭포스트타워6차)"
"1138667280",펀플로,손경현,"20130107","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130107","서울특별시 금천구 가산디지털1로 131 씨동 4층 402호, 403호, 404호 (가산동,비와이씨 하이시티)"
"1138669444",드림하버,김기주외 1명,"20130308","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130308","서울특별시 구로구 디지털로31길 38-9 409-40 (구로동,에이스테크노타워)"
"1138670432",아우러,정종률,"20130408","58212",모바일 게임 소프트웨어 개발 및 공급업,"20130408","경기도 성남시 중원구 은이로 11 2층 212호 (은행동,제10공영주차장)"
"1138671412",에눅스,김경욱,"20130502","58219",기타 게임 소프트웨어 개발 및 공급업,"20130502","서울특별시 강남구 언주로 647 451호 (논현동,강남빌딩)"
"1138672065",소시오게임즈,우상욱,"20130523","58219",기타 게임 소프트웨어 개발 및 공급업,"20130523","서울특별시 성동구 광나루로 275 3층 (송정동,금용빌딩)"
"1138674855",옐로에그,박상현,"20130819","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130819","서울특별시 구로구 디지털로29길 38 213호 (구로동,에이스테크노타워3차)"
"1138674909",조이임팩트,유태선,"20130819","58219",기타 게임 소프트웨어 개발 및 공급업,"20130819","서울 구로구 디지털로 271, 710호 (구로동,벽산디지털밸리3차)"
"1138676324",매니아마인드,김일,"20130926","58219",기타 게임 소프트웨어 개발 및 공급업,"20130926","광주 남구 송암로 60 404호 (송하동,광주씨지아이센터)"
"1138678206",매콤게임즈,오창조,"20131128","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20131128","서울특별시 구로구 디지털로27길 36, 808호 (구로동,이스페이스)"
"1138681375",피벗게임즈,이윤미,"20140217","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140217","경기도 성남시 수정구 창업로 54 826호 (시흥동,판교제2테크노밸리기업성장센터)"
"1138682961",슈퍼캔디,임채빈,"20140326","58219",기타 게임 소프트웨어 개발 및 공급업,"20140326",서울특별시 마포구 양화로 78-9 5층 (서교동)
