"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","ADDRESS"
"1288185169",청향,이숙자,"20030725",경기 포천시 영북면 북원로79번길 22 (자일리)
"1088162008",해오름가족,이홍기,"20030818",경기도 하남시 샘재로73번길 158 (천현동)
"1208671313",수광,김성철,"20040820","경기 용인시 기흥구 흥덕1로 13, B동 805호 (영덕동,흥덕아이티밸리 컴플렉스동)"
"5048159190",밝은씨에스,진성용,"20041025","서울특별시 강남구 영동대로85길 38 3층 (대치동,진성빌딩)"
"2148759590",쥬디스코퍼레이션,원승희,"20040922","서울 서초구 서운로 8 지하1층, 2층, 4층 (서초동,제이타워)"
"2208681498",신영상사에스와이,지세윤,"20040319","서울특별시 중구 다산로36길 109 종합상가 208호 (신당동,현대)"
"1018609536",제이케이홀딩스,윤지운,"20041021","서울특별시 종로구 새문안로3길 15 7층 (당주동,동원빌딩)"
"1018601887",유일코스,차흥규,"20040129",서울특별시 양천구 등촌로 78 2층 (목동)
"6108174991",웨슬리,권순조,"20041210",경기도 양평군 강하면 사호1길77번길 11 (전수리)
"1068629522",헨즈네일,신순제,"20040629","서울특별시 영등포구 양평로22길 21 A동 2층 201호 (양평동5가,선유도코오롱타워)"
"2118749400",베네피트코스메틱스코리아,정선민,"20040412",서울특별시 종로구 종로3길 17 (청진동)
"2108152690",씨엔케이코스메틱,이철승,"20040211","경기도 성남시 중원구 둔촌대로 227 (하대원동,씨엔케이빌딩)"
"2098137345",알엠케이에스에이,김미경,"20040403","서울특별시 송파구 올림픽로35가길 10, A동 212호 (신천동,잠실더샵스타파크아파트)"
"1078655829",에스리버,조균태,"20041020","경기도 성남시 분당구 황새울로200번길 28 R동 1101호 (수내동,오너스타워)"
"1208670328",인타글리오,유순영,"20040726","경기 부천시 도약로 296 2층 (도당동,원진빌딩)"
"3018174724",우리체인,이상학,"20040311","서울 서초구 강남대로6길 11, 6층 (양재동)"
"1258154503",스킨푸드,구도곤,"20041005",경기도 안성시 미양면 제2공단1길 104 (계륵리)
"1108167554",효와사랑,김윤례,"20040906","서울특별시 서대문구 통일로25길 30 종합상가 201호 (홍제동,한양아파트)"
"1058665485",베네코스코리아,황해성,"20040324",경기도 고양시 일산서구 송산로 457 (덕이동)
"1288199402",뉴라이프그룹,김종현,"20041215",경기도 고양시 덕양구 북한산로387번길 175-44 2층 (지축동)
"6108179531",제이씨피플,이진한,"20051123","경기도 안양시 동안구 벌말로 126 1603호, 1604호 (관양동,평촌오비즈타워)"
"1058685782",비컨아이앤씨,박진호,"20051111","경기 수원시 영통구 센트럴타운로 107 비47호 (이의동,광교월드스퀘어)"
"1318193501",지오코스메틱,황영찬,"20050930","인천광역시 남동구 남동동로77번길 53 (고잔동,남동공단)"
"1048194755",현대이노베이션,김태희외 1명,"20050701",서울 노원구 화랑로51길 24 106호 (공릉동)
"2278112877",피스엘,김복순,"20051006","강원 속초시 동해대로 4236, 1308호"
"1318188798",크레비스,강용수,"20050120",인천광역시 남동구 은봉로16번길 37 (논현동)
"4098187692",선화,오승은,"20050901",광주 북구 면앙로139번길 86 (두암동)
"2148770353",태남생활건강,권영옥,"20050510","서울 서초구 잠원로3길 40 5층 (잠원동,태남빌딩)"
"2158678967",케어이즈,이명규,"20051130","서울특별시 강남구 테헤란로43길 14 13층 (역삼동,청수빌딩)"
"1388127695",필로스씨엔에프,이재강,"20050516","서울특별시 강남구 논현로154길 5 4층 (신사동,유한빌딩)"
"1288600447",글로벌웨이브,윤상현,"20050121","경기도 고양시 일산동구 정발산로 19 904호 (장항동,지평프라자)"
"1088172317",대길하우징,이민숙,"20050914","서울특별시 서초구 강남대로101길 20, 302호 (잠원동,은성빌딩)"
