사업자등록번호,순번,데이터수집일자,언론사명,기사날짜,기사제목,기사내용,기자명,URL링크,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1028100148,1,20220321,,,,,,,I,20221104,,
1028100148,2,,,,,,,,I,20221104,,
1028200149,1,20220324,헤럴드경제,20220308,[세상속으로] 대한민국 문화플랫폼이 가야 할 길,,,,I,20221104,,
1028200149,2,,,,,,,,I,20221104,,
1028200150,1,,,,,,,,I,20221104,,
1028200151,1,20220324,한국경제,20220322,"정갑영 ""교육의 핵심은 다양성 존중…'자율형 사립大'부터 도입해 보라""",,,,I,20221104,,
1028200151,2,,,,,,,,I,20221104,,
1028200152,1,20220324,매일신문,20190115,[2019 재경 대구경북인 신년교례회-신청·참석자 명단] 자리를 빛내주신 분들께 감사드립니다,,,,I,20221104,,
1028200152,2,,,,,,,,I,20221104,,
1028200153,1,20220324,세이프타임즈,20210204,[인사] 해양수산부·대법원·제주도경찰청 등,,,,I,20221104,,
1028200153,2,,,,,,,,I,20221104,,
1028200154,1,20220324,노컷뉴스,20211026,"서울 마포구, 대한항공 등 '경의선 선형의 숲' 조성 업무협약",,,,I,20221104,,
1028200154,2,,,,,,,,I,20221104,,
1028600155,1,,,,,,,,I,20221104,,
1038600156,1,20220324,,,,,,,I,20221104,,
1038600156,2,20220110,,,,,,,I,20221104,,
1038600156,3,,,,,,,,I,20221104,,
1038700157,1,20220324,,,,,,,I,20221104,,
1038700157,2,,,,,,,,I,20221104,,
1040400158,1,20220324,,,,,,,I,20221104,,
1040400158,2,,,,,,,,I,20221104,,
1045000159,1,20220530,,,,,,,I,20221104,,
1045000159,2,20220519,,,,,,,I,20221104,,
1045000159,3,20220429,,,,,,,I,20221104,,
1045000159,4,20220422,,,,,,,I,20221104,,
1045000159,5,20220408,,,,,,,I,20221104,,
1045000159,6,20220405,,,,,,,I,20221104,,
1045000159,7,20220328,,,,,,,I,20221104,,
1045000159,8,,,,,,,,I,20221104,,
1048100160,1,20220321,,,,,,,I,20221104,,
1048100160,2,,,,,,,,I,20221104,,
1048100161,1,20220321,,,,,,,I,20221104,,
1048100161,2,,,,,,,,I,20221104,,
1048100162,1,20220530,,,,,,,I,20221104,,
1048100162,2,20220519,,,,,,,I,20221104,,
1048100162,3,20220429,,,,,,,I,20221104,,
1048100162,4,20220422,,,,,,,I,20221104,,
1048100162,5,20220408,,,,,,,I,20221104,,
1048100162,6,20220405,,,,,,,I,20221104,,
1048100162,7,20220328,,,,,,,I,20221104,,
1048100162,8,,,,,,,,I,20221104,,
1048100163,1,20220321,,,,,,,I,20221104,,
1048100163,2,,,,,,,,I,20221104,,
1048100164,1,20220321,,,,,,,I,20221104,,
1048100164,2,,,,,,,,I,20221104,,
1048100165,1,20220530,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
1048100165,2,20220519,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
1048100165,3,20220429,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
1048100165,4,20220422,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
1048100165,5,20220408,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
1048100165,6,20220405,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
